Family_id	Mother_q_score	Mother_Q12	Foetus_q_score	Foetus_Q12	Father_q_score	Father_Q12
1	0.848502	0.302718	0.784448	0.430761	0.669313	0.50085
2	0.830321	0.339064	0.813238	0.373265	0.843502	0.209547
3	0.846679	0.306436	0.827545	0.344561	0.725982	0.443434
4	0.855696	0.288331	0.82758	0.343598	0.672637	0.477674
5	0.845771	0.308145	0.812752	0.368951	0.531971	0.739636
6	0.845162	0.309404	0.802701	0.387272	0.581986	0.651904
7	0.858991	0.281838	0.831059	0.337702	0.86837	0.212162
8	0.861256	0.277167	0.801173	0.395354	0.635121	0.50197
9	0.867493	0.264769	0.820337	0.357762	0.595764	0.681656
10	0.836526	0.32668	0.829022	0.336899	0.604058	0.597869
11	0.844501	0.310721	0.808839	0.378077	0.597779	0.700407
12	0.866969	0.265866	0.821012	0.352912	0.567369	0.656596
13	0.847538	0.304714	0.832659	0.330627	0.568866	0.668365
14	0.861406	0.276682	0.803557	0.387611	0.546665	0.631561
15	0.861307	0.277091	0.804678	0.380884	0.53405	0.661846
16	0.405937	0.811844	0.478601	0.957069	0.131256	0.175532
17	0.862735	0.274303	0.81139	0.372202	0.589725	0.583079
18	0.849307	0.301124	0.823595	0.348291	0.545071	0.798252
19	0.843926	0.311908	0.83317	0.33061	0.730751	0.469815
20	0.839882	0.319665	0.771065	0.453687	0.501602	0.728027
21	0.836855	0.326036	0.820362	0.354897	0.636501	0.511013
22	0.825278	0.349192	0.801904	0.391628	0.619792	0.599931
23	0.849458	0.300915	0.802093	0.390004	0.659893	0.513998
24	0.77366	0.45247	0.829681	0.338906	0.764811	0.3157
25	0.844081	0.31159	0.818546	0.35244	0.626751	0.604367
26	0.670096	0.659675	0.812104	0.371705	0.806327	0.261439
27	0.847334	0.304753	0.826444	0.341817	0.589335	0.631073
28	0.861955	0.275138	0.828044	0.336361	0.555296	0.762959
29	0.851386	0.297019	0.820488	0.356814	0.614746	0.615354
30	0.863101	0.273542	0.664287	0.669355	0.489797	0.556515
31	0.859145	0.281375	0.8155	0.368586	0.669724	0.586241
